Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),ZONE 1:Zone Mean Air Temperature [C](Hourly),ZONE 1:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](Hourly),ZONE 1 PTHP:Zone Packaged Terminal Heat Pump Total Heating Rate [W](Hourly),ZONE 1 PTHP:Zone Packaged Terminal Heat Pump Electricity Rate [W](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),Electricity:HVAC [J](Hourly),InteriorLights:Electricity [J](Hourly) 
 03/16  06:00:00,-9.191666667,8.433333333,0,-2.157568155,0.000995908,0,0,0,0,0,0
 03/16  07:00:00,-10.1,9.033333333,197.6388889,-2.733665022,0.000909199,0,0,0,0,0,0
 03/16  08:00:00,-10.25,8.766666667,635,19.07537199,0.001224335,9305.025468,12652.72417,0,45340138.5,45549807.02,3110400
 03/16  09:00:00,-9.65,9.85,809.4166667,20.00150592,0.001425232,5686.119295,9188.652607,0,32869480.86,33079149.39,3110400
 03/16  10:00:00,-9.4,10.28333333,921.25,20.00149236,0.001430733,4568.84128,8053.812878,0,28784057.83,28993726.36,3110400
 03/16  11:00:00,-8.758333333,10.51666667,979.4166667,20.00142106,0.001416871,4018.299989,7428.606618,0,26533315.3,26742983.82,3110400
 03/16  12:00:00,-8.008333333,10.925,996.0833333,20.00103088,0.001372138,3732.486186,6170.485956,0,22004080.91,22213749.44,3110400
 03/16  13:00:00,-6.516666667,12.14166667,996.8333333,20.00020023,0.001326265,3305.815685,4356.986996,0,15475484.66,15685153.18,3110400
 03/16  14:00:00,-4.9,10.94166667,979.1666667,20.00080421,0.001414772,2608.654029,3203.752008,0,11350292.42,11533507.23,3110400
 03/16  15:00:00,-4.108333333,9.4,929.25,20.00003313,0.001501757,2036.4799,2466.021144,0,8737552.703,8877676.118,3110400
 03/16  16:00:00,-3.258333333,9.4,854.5833333,20.00001164,0.001242931,2427.795005,2633.96286,0,9333575.397,9482266.298,2073600
 03/16  17:00:00,-2.8,8.933333333,665.8333333,20.00001089,0.001123749,2173.841848,2294.975903,0,8132845.629,8261913.251,2073600
 03/16  18:00:00,-3.091666667,7.316666667,346,12.96331023,0.000967151,0,0,0,0,0,0
 03/16  19:00:00,-3.941666667,5.583333333,0,9.086765587,0.000925232,0,0,0,0,0,0
 03/16  20:00:00,-4.75,2.9,0,6.668863548,0.000923795,0,0,0,0,0,0
 03/16  21:00:00,-5.35,1.05,0,4.894804394,0.000926571,0,0,0,0,0,0
 03/16  22:00:00,-5.891666667,0.333333333,0,3.44875524,0.000991744,0,0,0,0,0,0
 03/16  23:00:00,-6.741666667,0.991666667,0,2.093106106,0.001107199,0,0,0,0,0,0
 03/16  24:00:00,-6.266666667,1.991666667,0,1.248363324,0.001030478,0,0,0,0,0,0
 03/17  01:00:00,-6.241666667,2.725,0,0.594918804,0.000885614,0,0,0,0,0,0
 03/17  02:00:00,-6.7,3.858333333,0,-0.252838223,0.00101256,0,0,0,0,0,0
